CONVERGENCE ITERATIONS

||===============================================================================================================================================================================================||
|| LOAD TIME            || REL. FORCE RESIDUAL    || ABS. FORCE RESIDUAL    || REL. VARIABLE RESIDUAL || ABS. VARIABLE RESIDUAL || ABS. MAX DOF           || LINE SEARCH || RATIO                ||
|| 2.0000000000000e-01  || 1.4189439740690e-02    || 1.0975888049686e+06    || 2.1771486137025e-02    || 8.3316710773701e-01    || 4.2361680411695e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5272860453700e-02    || 1.1813941184554e+06    || 2.1757541677394e-02    || 8.3283008982196e-01    || 4.2359356883381e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4162583460393e-02    || 1.0955114042300e+06    || 2.1753229433717e-02    || 8.3246574139042e-01    || 4.2327118381701e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5247420644581e-02    || 1.1794262853204e+06    || 2.1740519351522e-02    || 8.3217490911067e-01    || 4.2325064063585e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4139446896235e-02    || 1.0937217328779e+06    || 2.1737476083661e-02    || 8.3186056382327e-01    || 4.2297287673197e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5225491759175e-02    || 1.1777300309532e+06    || 2.1725831737388e-02    || 8.3160960957266e-01    || 4.2295478655973e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4119511863161e-02    || 1.0921797079969e+06    || 2.1723883829849e-02    || 8.3133841954303e-01    || 4.2271543468029e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5206587934822e-02    || 1.1762677726569e+06    || 2.1713159457152e-02    || 8.3112189084616e-01    || 4.2269955690408e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4102333085316e-02    || 1.0908508863810e+06    || 2.1712156914508e-02    || 8.3088794159070e-01    || 4.2249328012265e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5190290840906e-02    || 1.1750071515074e+06    || 2.1702226576519e-02    || 8.3070112705533e-01    || 4.2247938192452e-01    || 1.0000000   || 2.0000000000000e-01  ||
